nickname,full_name
Collins,John Collins
Westbrick,Russell Westbrook
AD,Anthony Davis
@JoelEmbiid,Joel Embiid
@KingJames,Lebron James
Steph Curry,Stephen Curry
CP3,Chris Paul
cp3,Chris Paul
THT,Talen Horton-Tucker
@kylekuzma,Kyle Kuzma
KAT,Karl-Anthony Towns
Shai gilgeous,Shai Gilgeous-Alexander
SGA,Shai Gilgeous-Alexander
@Money23Green,Draymond Green
